foto,marca,prezzo
CREATURE_WAX.jpeg,CREATURE SKATEBOARD WAX CERA PER SKATEBOARD,€4.99
LOVE_CUORICINI.jpeg,LOVE WAX PINK CUORICINI CERA PER SKATEBOARD,€7.99
LOVE_FLOWER.jpeg,LOVE WAX GREEN FLOWER CERA PER SKATEBOARD,€7.99
LOVE_GRENADE.jpeg,LOVE WAX BLACK GRENADE CERA PER SKATEBOARD,€7.99
LOVE_HEART.jpeg,LOVE WAX RED HEART CERA PER SKATEBOARD,€7.99
Magenta_Stair.jpeg,Magenta Red Stair Skate Wax,€7.00
Ripndip_Alien.jpeg,Ripndip Alien Skate Wax,€14.99
Ripndip_Nerm.jpeg,Ripndip Lord Nerm Skate Wax,€14.99
